dataset,metodo,distribuicao,parametro_1,parametro_2,sse
20 taps,scipy.stats,Rayleigh,0.80727860924126,,453.31479739289
20 taps,scipy.stats,Rice,1.4419216981777954e-06,0.6516972579732585,453.31154593870644
20 taps,scipy.stats,Nakagami,0.30322526884510487,1.3033438890160793,50.64933096989705
20 taps,dissertacao,Rayleigh,0.7071067811865476,,
20 taps,dissertacao,Rice,0.5803784463679499,1.3033975058770062,
20 taps,dissertacao,Nakagami,0.5,1.3033975058770062,
8 taps,scipy.stats,Rayleigh,0.25798509719529483,,1348.0967730506356
8 taps,scipy.stats,Rice,2.7474907372351068e-08,0.06655630680616575,1348.096683165389
8 taps,scipy.stats,Nakagami,0.26764905732629585,0.13309898241944054,194.5743919138208
8 taps,dissertacao,Rayleigh,0.7071067811865475,,
8 taps,dissertacao,Rice,0.24884275608728887,0.13311262074973146,
8 taps,dissertacao,Nakagami,0.5,0.13311262074973146,
